date	doi	title	authors	year	file	status	notes
2026-07-17	10.1016/j.jvb.2006.12.004	Socialization tactics and newcomer adjustment: A meta-analytic review and test of a model	Saks et al.	2006		failed	Fetch failed: {"ok":false,"status":403,"contentType":"text/html; charset=UTF-8","size":835735,"url":"https://www.sciencedirect.com/science/article/pii/S0001879106001205","head":[60,33,68,79,67,84,89,8
2026-07-17	10.1348/096317902321119583	Newcomer adjustment: The relationship between organizational socialization tactics, information acquisition and attitudes	Cooper-Thomas & Anderson	2002		no_authorized_pdf_found	no_fulltext_link_in_primo
2026-07-17	10.1016/s0022-1031(03)00101-x	Minority influence in work teams: The impact of newcomers	Choi & Levine	2003		failed	Fetch failed: {"ok":false,"status":403,"contentType":"text/html; charset=UTF-8","size":835756,"url":"https://www.sciencedirect.com/science/article/pii/S002210310300101X","head":[60,33,68,79,67,84,89,8
2026-07-17	10.1111/peps.12053	Getting What's New from Newcomers: Empowering Leadership, Creativity, and Adjustment in the Socialization Context	Harris et al.	2013		no_authorized_pdf_found	no_fulltext_link_in_primo
2026-07-17	10.1016/j.jvb.2010.12.007	The neglected role of proactive behavior and outcomes in newcomer socialization	Saks et al.	2010		failed	Fetch failed: {"ok":false,"status":403,"contentType":"text/html; charset=UTF-8","size":835735,"url":"https://www.sciencedirect.com/science/article/pii/S0001879110002083","head":[60,33,68,79,67,84,89,8
2026-07-17	10.1287/mnsc.1100.1253	Recruiting for Ideas: How Firms Exploit the Prior Inventions of New Hires	Singh & Agrawal	2010		no_authorized_pdf_found	no_fulltext_link_in_primo
2026-07-17	10.1016/j.jvb.2014.02.007	The relative importance of proactive behaviors and outcomes for predicting newcomer learning, well-being, and work engagement	Cooper-Thomas et al.	2014		failed	Fetch failed: {"ok":false,"status":403,"contentType":"text/html; charset=UTF-8","size":835756,"url":"https://www.sciencedirect.com/science/article/pii/S0001879114000396","head":[60,33,68,79,67,84,89,8
2026-07-17	10.1037/apl0000035	Breach of belongingness: Newcomer relationship conflict, information, and task-related outcomes during organizational socialization	Nifadkar & Bauer	2015		no_authorized_pdf_found	no_fulltext_link_in_primo
2026-07-17	10.1016/j.jvb.2020.103519	Newcomers' relationship-building behavior, mentor information sharing and newcomer adjustment	Zheng et al.	2020		failed	Fetch failed: {"ok":false,"status":403,"contentType":"text/html; charset=UTF-8","size":835735,"url":"https://www.sciencedirect.com/science/article/pii/S0001879120301445","head":[60,33,68,79,67,84,89,8
2026-07-17	10.1348/096317902321119583	Newcomer adjustment: The relationship between organizational socialization tactics, information acquisition and attitudes	Cooper-Thomas & Anderson	2002		failed	Fetch failed: {"ok":false,"status":403,"contentType":"text/html; charset=UTF-8","size":6476,"url":"https://bpspsychub.onlinelibrary.wiley.com/doi/pdfdirect/10.1348/096317902321119583?download=true","h
2026-07-17	10.1111/peps.12053	Getting What's New from Newcomers: Empowering Leadership, Creativity, and Adjustment in the Socialization Context	Harris et al.	2013		failed	Not PDF: text/html;charset=UTF-8
